property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,nearby_city,km_from_nearby_city,is_nearby_city_prestigious,floor_number,property_url
https://immovlan.be/en/detail/residence/for-sale/7812/villers-saint-amand/vbe30901,House,residence,495000.0,sell,,3.0,1.0,Chemin de la Rabotte 23,7812,villers-saint-amand,50.6254644,3.7189712999999998,1782.0,Normal,,1.0,2.0,,,4.0,3.0,1.0,2277.0,1.0,2515.0,C,Wallonia,Hainaut,Tournai,23.4,0.0,,https://immovlan.be/en/detail/residence/for-sale/7812/villers-saint-amand/vbe30901
https://immovlan.be/en/detail/residence/for-sale/3600/genk/rbv95715,House,residence,425000.0,sell,263.0,3.0,1.0,Felix Despastraat 6C-,3600,genk,51.0121805,5.5109817,,New,,1.0,,,,3.0,,1.0,,1.0,256.0,A+,Flanders,Limburg,Genk,5.3,0.0,,https://immovlan.be/en/detail/residence/for-sale/3600/genk/rbv95715
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbw18200,Apartment,apartment,194000.0,sell,90.0,2.0,1.0,Lambrechtshoekenlaan 209 1106,2170,merksem,51.25112,4.433446,1971.0,To be renovated,0.0,,,,1.0,4.0,,,,,,B,Flanders,Antwerp,Antwerpen,4.1,0.0,11.0,https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbw18200
https://immovlan.be/en/detail/residence/for-sale/4900/spa/vbe35521,House,residence,199000.0,sell,204.0,2.0,1.0,Rue de Winamplanche 1,4900,spa,50.4776458,5.8246981,,To be renovated,0.0,1.0,1.0,Super equipped,,4.0,2.0,1.0,,1.0,310.0,G,Wallonia,Liège,Verviers,12.7,0.0,,https://immovlan.be/en/detail/residence/for-sale/4900/spa/vbe35521
https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe19757,Apartment,apartment,259000.0,sell,85.0,3.0,1.0,Boulevard Sylvain Dupuis 213,1070,anderlecht,50.8376,4.2949,1992.0,Normal,,,,,1.0,2.0,9.0,0.0,,1.0,,C,Brussels,Brussels Capital Region,Bruxelles,4.2,0.0,9.0,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe19757
https://immovlan.be/en/detail/residence/for-sale/6767/torgny/vbe30755,House,residence,239000.0,sell,,1.0,,Rue de l'Ermitage 10,6767,torgny,49.50679025,5.47422217,1875.0,,0.0,,,,0.0,3.0,,,,,3339.0,,Wallonia,Luxembourg,Arlon,31.5,0.0,,https://immovlan.be/en/detail/residence/for-sale/6767/torgny/vbe30755
https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbw24100,Apartment,apartment,210000.0,sell,66.0,1.0,1.0,Dessauerplein 1,2300,turnhout,51.32402,4.953304,2024.0,New,0.0,,,,1.0,3.0,4.0,,,1.0,,,Flanders,Antwerp,Turnhout,0.6000000000000001,0.0,2.0,https://immovlan.be/en/detail/apartment/for-sale/2300/turnhout/rbw24100
https://immovlan.be/en/detail/residence/for-sale/7850/enghien/vbe36681,House,residence,550000.0,sell,250.0,4.0,2.0,,7850,enghien,50.6947227,4.0418874,2003.0,Normal,0.0,1.0,2.0,,0.0,4.0,1.0,1.0,1300.0,1.0,1430.0,B,Wallonia,Hainaut,La Louvière,26.1,0.0,,https://immovlan.be/en/detail/residence/for-sale/7850/enghien/vbe36681
https://immovlan.be/en/detail/apartment/for-sale/7711/dottignies/vbc25748,Apartment,apartment,449000.0,sell,,3.0,2.0,Rue Pastorale 25,7711,dottignies,50.7289846,3.3031995,2021.0,New,,,,,1.0,2.0,,1.0,,1.0,,A++,Wallonia,Hainaut,Mouscron,6.6,0.0,3.0,https://immovlan.be/en/detail/apartment/for-sale/7711/dottignies/vbc25748
https://immovlan.be/en/detail/residence/for-sale/6769/meix-devant-virton/vbe34103,House,residence,275000.0,sell,180.0,3.0,1.0,Route de la Soye 70,6769,meix-devant-virton,49.6211501,5.4070044,1974.0,To renovate,0.0,1.0,2.0,Partially equipped,0.0,4.0,1.0,1.0,2500.0,1.0,2630.0,D,Wallonia,Luxembourg,Arlon,30.3,0.0,,https://immovlan.be/en/detail/residence/for-sale/6769/meix-devant-virton/vbe34103
