postal_code,property_count,avg_price_m2,longitude,latitude
4432,5,2475.7209033613444,5.5129926,50.6742549
4450,8,2248.2680380053953,5.5234944,50.6879619
4452,1,1800.0,5.5241784,50.7280141
4458,3,1647.2540300895864,5.5714611,50.7219179
4460,26,1529.8948671623282,5.4254194,50.6436521
4470,5,1463.7609788486373,5.3579041,50.6000686
4480,12,1586.9071569545047,5.4444346,50.5445135
4500,56,1952.5696650532013,5.1773498,50.5033196
4520,20,1438.171779013819,5.2358517,50.5512026
4530,6,1936.9712143731422,5.2044866,50.6161817
4537,5,1977.9444284346991,5.3184439,50.6075114
4540,31,1716.389313400587,5.3371708,50.5442809
4550,25,2633.168645430398,5.4130878,50.5290054
4557,5,2495.307467288923,5.3564571,50.4735257
4560,9,2229.364029134486,5.3302671,50.3946271
4570,11,2059.1923606106557,5.2683004,50.4462845
4577,4,1218.8923395445133,5.3271603,50.4922647
4590,3,2300.5259373925005,5.4653273,50.4377341
4600,24,2534.92914452703,5.695354,50.7171434
4602,14,1487.6533436833006,5.670164,50.682809
4606,2,2307.705903145988,5.7536486,50.6953487
4607,10,1893.6060732422354,5.731253,50.7423427
4608,8,3184.122698721707,5.773045637996,50.73466495
4610,10,1954.0734335307816,5.6654685,50.6447087
4620,7,2076.1271527841905,5.6832219,50.6168354
4621,2,2596.757591353577,5.6978166,50.6302993
